ts,prob,elapsed_hours
2025-06-27 12:00:08+00:00,0.5,0.0
2025-06-27 12:30:08+00:00,0.5,0.5
2025-06-27 13:00:08+00:00,0.5,1.0
2025-06-27 13:30:08+00:00,0.5,1.5
2025-06-27 14:00:08+00:00,0.5,2.0
2025-06-27 14:30:08+00:00,0.5,2.5
2025-06-27 15:00:08+00:00,0.5,3.0
2025-06-27 15:30:08+00:00,0.5,3.5
2025-06-27 16:00:08+00:00,0.50375,4.0
2025-06-27 16:30:08+00:00,0.505,4.5
2025-06-27 17:00:08+00:00,0.505,5.0
2025-06-27 17:30:08+00:00,0.505,5.5
2025-06-27 18:00:08+00:00,0.505,6.0
2025-06-27 18:30:08+00:00,0.505,6.5
2025-06-27 19:00:08+00:00,0.505,7.0
2025-06-27 19:30:08+00:00,0.5033333333333333,7.5
2025-06-27 20:00:08+00:00,0.5,8.0
2025-06-27 20:30:08+00:00,0.5,8.5
2025-06-27 21:00:08+00:00,0.5,9.0
2025-06-27 21:30:08+00:00,0.5,9.5
2025-06-27 22:00:08+00:00,0.5,10.0
2025-06-27 22:30:08+00:00,0.5,10.5
2025-06-27 23:00:08+00:00,0.5,11.0
2025-06-27 23:30:08+00:00,0.5,11.5
2025-06-28 00:00:08+00:00,0.5,12.0
2025-06-28 00:30:08+00:00,0.5,12.5
2025-06-28 01:00:08+00:00,0.5,13.0
2025-06-28 01:30:08+00:00,0.5,13.5
2025-06-28 02:00:08+00:00,0.5,14.0
2025-06-28 02:30:08+00:00,0.5,14.5
2025-06-28 03:00:08+00:00,0.5,15.0
2025-06-28 03:30:08+00:00,0.5,15.5
2025-06-28 04:00:08+00:00,0.5,16.0
2025-06-28 04:30:08+00:00,0.5,16.5
2025-06-28 05:00:08+00:00,0.5,17.0
2025-06-28 05:30:08+00:00,0.5,17.5
2025-06-28 06:00:08+00:00,0.5,18.0
2025-06-28 06:30:08+00:00,0.5,18.5
2025-06-28 07:00:08+00:00,0.5,19.0
2025-06-28 07:30:08+00:00,0.5,19.5
2025-06-28 08:00:08+00:00,0.5,20.0
2025-06-28 08:30:08+00:00,0.5,20.5
2025-06-28 09:00:08+00:00,0.5,21.0
2025-06-28 09:30:08+00:00,0.5,21.5
2025-06-28 10:00:08+00:00,0.5,22.0
2025-06-28 10:30:08+00:00,0.5,22.5
2025-06-28 11:00:08+00:00,0.5,23.0
2025-06-28 11:30:08+00:00,0.5,23.5
2025-06-28 12:00:08+00:00,0.5,24.0
2025-06-28 12:30:08+00:00,0.49666666666666665,24.5
2025-06-28 13:00:08+00:00,0.495,25.0
2025-06-28 13:30:08+00:00,0.49499999999999994,25.5
2025-06-28 14:00:08+00:00,0.495,26.0
2025-06-28 14:30:08+00:00,0.49499999999999994,26.5
2025-06-28 15:00:08+00:00,0.49499999999999994,27.0
2025-06-28 15:30:08+00:00,0.49499999999999994,27.5
2025-06-28 16:00:08+00:00,0.495,28.0
2025-06-28 16:30:08+00:00,0.495,28.5
2025-06-28 17:00:08+00:00,0.49499999999999994,29.0
2025-06-28 17:30:08+00:00,0.49499999999999994,29.5
2025-06-28 18:00:08+00:00,0.49499999999999994,30.0
2025-06-28 18:30:08+00:00,0.5016666666666666,30.5
2025-06-28 19:00:08+00:00,0.505,31.0
2025-06-28 19:30:08+00:00,0.505,31.5
2025-06-28 20:00:08+00:00,0.505,32.0
2025-06-28 20:30:08+00:00,0.505,32.5
2025-06-28 21:00:08+00:00,0.505,33.0
2025-06-28 21:30:08+00:00,0.505,33.5
2025-06-28 22:00:08+00:00,0.505,34.0
2025-06-28 22:30:08+00:00,0.505,34.5
2025-06-28 23:00:08+00:00,0.505,35.0
2025-06-28 23:30:08+00:00,0.49666666666666665,35.5
2025-06-29 00:00:08+00:00,0.5,36.0
2025-06-29 00:30:08+00:00,0.5,36.5
2025-06-29 01:00:08+00:00,0.5,37.0
2025-06-29 01:30:08+00:00,0.5,37.5
2025-06-29 02:00:08+00:00,0.5,38.0
2025-06-29 02:30:08+00:00,0.5,38.5
2025-06-29 03:00:08+00:00,0.5,39.0
2025-06-29 03:30:08+00:00,0.5,39.5
2025-06-29 04:00:08+00:00,0.5,40.0
2025-06-29 04:30:08+00:00,0.5,40.5
2025-06-29 05:00:08+00:00,0.5,41.0
2025-06-29 05:30:08+00:00,0.5,41.5
2025-06-29 06:00:08+00:00,0.5,42.0
2025-06-29 06:30:08+00:00,0.5,42.5
2025-06-29 07:00:08+00:00,0.5,43.0
2025-06-29 07:30:08+00:00,0.5,43.5
2025-06-29 08:00:08+00:00,0.5,44.0
2025-06-29 08:30:08+00:00,0.5,44.5
2025-06-29 09:00:08+00:00,0.5,45.0
2025-06-29 09:30:08+00:00,0.5,45.5
2025-06-29 10:00:08+00:00,0.5,46.0
2025-06-29 10:30:08+00:00,0.5,46.5
2025-06-29 11:00:08+00:00,0.5,47.0
2025-06-29 11:30:08+00:00,0.5,47.5
2025-06-29 12:00:08+00:00,0.5,48.0
2025-06-29 12:30:08+00:00,0.5,48.5
2025-06-29 13:00:08+00:00,0.5,49.0
2025-06-29 13:30:08+00:00,0.5,49.5
2025-06-29 14:00:08+00:00,0.5,50.0
2025-06-29 14:30:08+00:00,0.5,50.5
2025-06-29 15:00:08+00:00,0.5,51.0
2025-06-29 15:30:08+00:00,0.5,51.5
2025-06-29 16:00:08+00:00,0.5,52.0
2025-06-29 16:30:08+00:00,0.5,52.5
2025-06-29 17:00:08+00:00,0.5,53.0
2025-06-29 17:30:08+00:00,0.5,53.5
2025-06-29 18:00:08+00:00,0.5,54.0
2025-06-29 18:30:08+00:00,0.5,54.5
2025-06-29 19:00:08+00:00,0.5,55.0
2025-06-29 19:30:08+00:00,0.5,55.5
2025-06-29 20:00:08+00:00,0.5,56.0
2025-06-29 20:30:08+00:00,0.5,56.5
2025-06-29 21:00:08+00:00,0.5,57.0
2025-06-29 21:30:08+00:00,0.5,57.5
2025-06-29 22:00:08+00:00,0.5,58.0
2025-06-29 22:30:08+00:00,0.5,58.5
2025-06-29 23:00:08+00:00,0.5,59.0
2025-06-29 23:30:08+00:00,0.5,59.5
2025-06-30 00:00:08+00:00,0.5,60.0
2025-06-30 00:30:08+00:00,0.5,60.5
2025-06-30 01:00:08+00:00,0.5,61.0
2025-06-30 01:30:08+00:00,0.5,61.5
2025-06-30 02:00:08+00:00,0.5,62.0
2025-06-30 02:30:08+00:00,0.5,62.5
2025-06-30 03:00:08+00:00,0.5,63.0
2025-06-30 03:30:08+00:00,0.5,63.5
2025-06-30 04:00:08+00:00,0.5,64.0
2025-06-30 04:30:08+00:00,0.5,64.5
2025-06-30 05:00:08+00:00,0.5,65.0
2025-06-30 05:30:08+00:00,0.5,65.5
2025-06-30 06:00:08+00:00,0.5,66.0
2025-06-30 06:30:08+00:00,0.5,66.5
2025-06-30 07:00:08+00:00,0.5,67.0
2025-06-30 07:30:08+00:00,0.5,67.5
2025-06-30 08:00:08+00:00,0.5,68.0
2025-06-30 08:30:08+00:00,0.5,68.5
2025-06-30 09:00:08+00:00,0.5,69.0
2025-06-30 09:30:08+00:00,0.5,69.5
2025-06-30 10:00:08+00:00,0.5,70.0
2025-06-30 10:30:08+00:00,0.5,70.5
2025-06-30 11:00:08+00:00,0.5,71.0
2025-06-30 11:30:08+00:00,0.5,71.5
2025-06-30 12:00:08+00:00,0.5,72.0
2025-06-30 12:30:08+00:00,0.505,72.5
2025-06-30 13:00:08+00:00,0.505,73.0
2025-06-30 13:30:08+00:00,0.505,73.5
2025-06-30 14:00:08+00:00,0.5,74.0
2025-06-30 14:30:08+00:00,0.5,74.5
2025-06-30 15:00:08+00:00,0.49833333333333335,75.0
2025-06-30 15:30:08+00:00,0.49499999999999994,75.5
2025-06-30 16:00:08+00:00,0.49666666666666665,76.0
2025-06-30 16:30:08+00:00,0.505,76.5
2025-06-30 17:00:08+00:00,0.465,77.0
2025-06-30 17:30:08+00:00,0.4816666666666667,77.5
2025-06-30 18:00:08+00:00,0.53,78.0
2025-06-30 18:30:08+00:00,0.5733333333333333,78.5
2025-06-30 19:00:08+00:00,0.54,79.0
2025-06-30 19:30:08+00:00,0.4925,79.5
2025-06-30 20:00:08+00:00,0.48,80.0
2025-06-30 20:30:08+00:00,0.4766666666666666,80.5
2025-06-30 21:00:08+00:00,0.5333333333333333,81.0
