ts,prob,elapsed_hours
2025-07-01 14:10:06+00:00,0.5,0.0
2025-07-01 14:40:06+00:00,0.505,0.5
2025-07-01 15:10:06+00:00,0.505,1.0
2025-07-01 15:40:06+00:00,0.505,1.5
2025-07-01 16:10:06+00:00,0.505,2.0
2025-07-01 16:40:06+00:00,0.505,2.5
2025-07-01 17:10:06+00:00,0.505,3.0
2025-07-01 17:40:06+00:00,0.505,3.5
2025-07-01 18:10:06+00:00,0.505,4.0
2025-07-01 18:40:06+00:00,0.505,4.5
2025-07-01 19:10:06+00:00,0.505,5.0
2025-07-01 19:40:06+00:00,0.505,5.5
2025-07-01 20:10:06+00:00,0.505,6.0
2025-07-01 20:40:06+00:00,0.505,6.5
2025-07-01 21:10:06+00:00,0.505,7.0
2025-07-01 21:40:06+00:00,0.505,7.5
2025-07-01 22:10:06+00:00,0.505,8.0
2025-07-01 22:40:06+00:00,0.505,8.5
2025-07-01 23:10:06+00:00,0.505,9.0
2025-07-01 23:40:06+00:00,0.505,9.5
2025-07-02 00:10:06+00:00,0.505,10.0
2025-07-02 00:40:06+00:00,0.505,10.5
2025-07-02 01:10:06+00:00,0.505,11.0
2025-07-02 01:40:06+00:00,0.505,11.5
2025-07-02 02:10:06+00:00,0.505,12.0
2025-07-02 02:40:06+00:00,0.505,12.5
2025-07-02 03:10:06+00:00,0.505,13.0
2025-07-02 03:40:06+00:00,0.505,13.5
2025-07-02 04:10:06+00:00,0.505,14.0
2025-07-02 04:40:06+00:00,0.505,14.5
2025-07-02 05:10:06+00:00,0.505,15.0
2025-07-02 05:40:06+00:00,0.505,15.5
2025-07-02 06:10:06+00:00,0.505,16.0
2025-07-02 06:40:06+00:00,0.505,16.5
2025-07-02 07:10:06+00:00,0.505,17.0
2025-07-02 07:40:06+00:00,0.505,17.5
2025-07-02 08:10:06+00:00,0.505,18.0
2025-07-02 08:40:06+00:00,0.505,18.5
2025-07-02 09:10:06+00:00,0.505,19.0
2025-07-02 09:40:06+00:00,0.505,19.5
2025-07-02 10:10:06+00:00,0.5016666666666666,20.0
2025-07-02 10:40:06+00:00,0.5,20.5
2025-07-02 11:10:06+00:00,0.5,21.0
2025-07-02 11:40:06+00:00,0.49833333333333335,21.5
2025-07-02 12:10:06+00:00,0.49499999999999994,22.0
2025-07-02 12:40:06+00:00,0.49499999999999994,22.5
2025-07-02 13:10:06+00:00,0.49499999999999994,23.0
2025-07-02 13:40:06+00:00,0.49499999999999994,23.5
2025-07-02 14:10:06+00:00,0.49499999999999994,24.0
2025-07-02 14:40:06+00:00,0.49499999999999994,24.5
2025-07-02 15:10:06+00:00,0.49499999999999994,25.0
2025-07-02 15:40:06+00:00,0.49499999999999994,25.5
2025-07-02 16:10:06+00:00,0.6383333333333333,26.0
2025-07-02 16:40:06+00:00,0.6483333333333333,26.5
2025-07-02 17:10:06+00:00,0.6466666666666666,27.0
2025-07-02 17:40:06+00:00,0.5583333333333333,27.5
2025-07-02 18:10:06+00:00,0.61,28.0
2025-07-02 18:40:06+00:00,0.6616666666666667,28.5
2025-07-02 19:10:06+00:00,0.6716666666666667,29.0
2025-07-02 19:40:06+00:00,0.6816666666666666,29.5
2025-07-02 20:10:06+00:00,0.66,30.0
2025-07-02 20:40:06+00:00,0.63,30.5
2025-07-02 21:10:06+00:00,0.6366666666666667,31.0
2025-07-02 21:40:06+00:00,0.6683333333333333,31.5
2025-07-02 22:10:06+00:00,0.6416666666666667,32.0
2025-07-02 22:40:06+00:00,0.6333333333333333,32.5
2025-07-02 23:10:06+00:00,0.59,33.0
2025-07-02 23:40:06+00:00,0.5333333333333333,33.5
2025-07-03 00:10:06+00:00,0.5499999999999999,34.0
2025-07-03 00:40:06+00:00,0.56,34.5
2025-07-03 01:10:06+00:00,0.585,35.0
2025-07-03 01:40:06+00:00,0.5883333333333333,35.5
2025-07-03 02:10:06+00:00,0.49833333333333335,36.0
2025-07-03 02:40:06+00:00,0.47000000000000003,36.5
2025-07-03 03:10:06+00:00,0.49333333333333335,37.0
2025-07-03 03:40:06+00:00,0.49,37.5
2025-07-03 04:10:06+00:00,0.545,38.0
2025-07-03 04:40:06+00:00,0.5433333333333333,38.5
2025-07-03 05:10:06+00:00,0.6283333333333333,39.0
2025-07-03 05:40:06+00:00,0.69,39.5
2025-07-03 06:10:06+00:00,0.695,40.0
2025-07-03 06:40:06+00:00,0.73,40.5
2025-07-03 07:10:06+00:00,0.665,41.0
2025-07-03 07:40:06+00:00,0.7066666666666667,41.5
2025-07-03 08:10:06+00:00,0.7516666666666666,42.0
2025-07-03 08:40:06+00:00,0.7583333333333333,42.5
2025-07-03 09:10:06+00:00,0.8383333333333334,43.0
2025-07-03 09:40:06+00:00,0.8666666666666667,43.5
2025-07-03 10:10:06+00:00,0.84,44.0
2025-07-03 10:40:06+00:00,0.8516666666666666,44.5
2025-07-03 11:10:06+00:00,0.835,45.0
2025-07-03 11:40:06+00:00,0.8283333333333333,45.5
2025-07-03 12:10:06+00:00,0.8266666666666667,46.0
2025-07-03 12:40:06+00:00,0.6216666666666667,46.5
2025-07-03 13:10:06+00:00,0.77,47.0
2025-07-03 13:40:06+00:00,0.9548333333333333,47.5
2025-07-03 14:10:06+00:00,0.9788333333333333,48.0
2025-07-03 14:40:06+00:00,0.9836666666666667,48.5
2025-07-03 15:10:06+00:00,0.9743333333333334,49.0
2025-07-03 15:40:06+00:00,0.988,49.5
