ts,prob,elapsed_hours
2025-06-09 09:10:07+00:00,0.5,0.0
2025-06-09 09:40:07+00:00,0.5,0.5
2025-06-09 10:10:07+00:00,0.5,1.0
2025-06-09 10:40:07+00:00,0.50125,1.5
2025-06-09 11:10:07+00:00,0.505,2.0
2025-06-09 11:40:07+00:00,0.505,2.5
2025-06-09 12:10:07+00:00,0.505,3.0
2025-06-09 12:40:07+00:00,0.505,3.5
2025-06-09 13:10:07+00:00,0.495,4.0
2025-06-09 13:40:07+00:00,0.49499999999999994,4.5
2025-06-09 14:10:07+00:00,0.495,5.0
2025-06-09 14:40:07+00:00,0.49499999999999994,5.5
2025-06-09 15:10:07+00:00,0.49499999999999994,6.0
2025-06-09 15:40:07+00:00,0.49499999999999994,6.5
2025-06-09 16:10:07+00:00,0.495,7.0
2025-06-09 16:40:07+00:00,0.5,7.5
2025-06-09 17:10:07+00:00,0.505,8.0
2025-06-09 17:40:07+00:00,0.505,8.5
2025-06-09 18:10:07+00:00,0.505,9.0
2025-06-09 18:40:07+00:00,0.505,9.5
2025-06-09 19:10:07+00:00,0.505,10.0
2025-06-09 19:40:07+00:00,0.505,10.5
2025-06-09 20:10:07+00:00,0.505,11.0
2025-06-09 20:40:07+00:00,0.505,11.5
2025-06-09 21:10:07+00:00,0.505,12.0
2025-06-09 21:40:07+00:00,0.505,12.5
2025-06-09 22:10:07+00:00,0.495,13.0
2025-06-09 22:40:07+00:00,0.49499999999999994,13.5
2025-06-09 23:10:07+00:00,0.49499999999999994,14.0
2025-06-09 23:40:07+00:00,0.495,14.5
2025-06-10 00:10:07+00:00,0.49499999999999994,15.0
2025-06-10 00:40:07+00:00,0.495,15.5
2025-06-10 01:10:07+00:00,0.495,16.0
2025-06-10 01:40:07+00:00,0.495,16.5
2025-06-10 02:10:07+00:00,0.495,17.0
2025-06-10 02:40:07+00:00,0.495,17.5
2025-06-10 03:10:07+00:00,0.495,18.0
2025-06-10 03:40:07+00:00,0.49499999999999994,18.5
2025-06-10 04:10:07+00:00,0.49499999999999994,19.0
2025-06-10 04:40:07+00:00,0.495,19.5
2025-06-10 05:10:07+00:00,0.49499999999999994,20.0
2025-06-10 05:40:07+00:00,0.495,20.5
2025-06-10 06:10:07+00:00,0.495,21.0
2025-06-10 06:40:07+00:00,0.49499999999999994,21.5
2025-06-10 07:10:07+00:00,0.495,22.0
2025-06-10 07:40:07+00:00,0.49499999999999994,22.5
2025-06-10 08:10:07+00:00,0.49499999999999994,23.0
2025-06-10 08:40:07+00:00,0.49499999999999994,23.5
2025-06-10 09:10:07+00:00,0.4975,24.0
2025-06-10 09:40:07+00:00,0.5,24.5
2025-06-10 10:10:07+00:00,0.5,25.0
