ts,prob,elapsed_hours
2025-05-16 14:40:06+00:00,0.5,0.0
2025-05-16 15:10:06+00:00,0.5,0.5
2025-05-16 15:40:06+00:00,0.5,1.0
2025-05-16 16:10:06+00:00,0.5,1.5
2025-05-16 16:40:06+00:00,0.5,2.0
2025-05-16 17:10:06+00:00,0.5,2.5
2025-05-16 17:40:06+00:00,0.5,3.0
2025-05-16 18:10:06+00:00,0.5,3.5
2025-05-16 18:40:06+00:00,0.5,4.0
2025-05-16 19:10:06+00:00,0.5,4.5
2025-05-16 19:40:06+00:00,0.5,5.0
2025-05-16 20:10:06+00:00,0.5,5.5
2025-05-16 20:40:06+00:00,0.5,6.0
2025-05-16 21:10:06+00:00,0.5,6.5
2025-05-16 21:40:06+00:00,0.5,7.0
2025-05-16 22:10:06+00:00,0.5,7.5
2025-05-16 22:40:06+00:00,0.5,8.0
2025-05-16 23:10:06+00:00,0.5,8.5
2025-05-16 23:40:06+00:00,0.5,9.0
2025-05-17 00:10:06+00:00,0.5,9.5
2025-05-17 00:40:06+00:00,0.5,10.0
2025-05-17 01:10:06+00:00,0.5,10.5
2025-05-17 01:40:06+00:00,0.5,11.0
2025-05-17 02:10:06+00:00,0.5,11.5
2025-05-17 02:40:06+00:00,0.5,12.0
2025-05-17 03:10:06+00:00,0.5,12.5
2025-05-17 03:40:06+00:00,0.5,13.0
2025-05-17 04:10:06+00:00,0.5,13.5
2025-05-17 04:40:06+00:00,0.5,14.0
2025-05-17 05:10:06+00:00,0.5,14.5
2025-05-17 05:40:06+00:00,0.5,15.0
2025-05-17 06:10:06+00:00,0.5,15.5
2025-05-17 06:40:06+00:00,0.5,16.0
2025-05-17 07:10:06+00:00,0.5,16.5
2025-05-17 07:40:06+00:00,0.5,17.0
2025-05-17 08:10:06+00:00,0.5,17.5
2025-05-17 08:40:06+00:00,0.5,18.0
2025-05-17 09:10:06+00:00,0.5,18.5
2025-05-17 09:40:06+00:00,0.5,19.0
2025-05-17 10:10:06+00:00,0.5,19.5
2025-05-17 10:40:06+00:00,0.5,20.0
2025-05-17 11:10:06+00:00,0.5,20.5
2025-05-17 11:40:06+00:00,0.5,21.0
2025-05-17 12:10:06+00:00,0.5,21.5
2025-05-17 12:40:06+00:00,0.5,22.0
2025-05-17 13:10:06+00:00,0.5,22.5
2025-05-17 13:40:06+00:00,0.5,23.0
2025-05-17 14:10:06+00:00,0.5,23.5
2025-05-17 14:40:06+00:00,0.5,24.0
2025-05-17 15:10:06+00:00,0.5,24.5
2025-05-17 15:40:06+00:00,0.5,25.0
2025-05-17 16:10:06+00:00,0.5,25.5
2025-05-17 16:40:06+00:00,0.5,26.0
2025-05-17 17:10:06+00:00,0.5,26.5
2025-05-17 17:40:06+00:00,0.5,27.0
2025-05-17 18:10:06+00:00,0.5,27.5
2025-05-17 18:40:06+00:00,0.5,28.0
2025-05-17 19:10:06+00:00,0.5,28.5
2025-05-17 19:40:06+00:00,0.5,29.0
2025-05-17 20:10:06+00:00,0.5,29.5
2025-05-17 20:40:06+00:00,0.5,30.0
2025-05-17 21:10:06+00:00,0.5,30.5
2025-05-17 21:40:06+00:00,0.5,31.0
2025-05-17 22:10:06+00:00,0.5,31.5
2025-05-17 22:40:06+00:00,0.5,32.0
2025-05-17 23:10:06+00:00,0.5,32.5
2025-05-17 23:40:06+00:00,0.5,33.0
2025-05-18 00:10:06+00:00,0.5,33.5
2025-05-18 00:40:06+00:00,0.5,34.0
2025-05-18 01:10:06+00:00,0.5,34.5
2025-05-18 01:40:06+00:00,0.5,35.0
2025-05-18 02:10:06+00:00,0.5,35.5
2025-05-18 02:40:06+00:00,0.5,36.0
2025-05-18 03:10:06+00:00,0.5,36.5
2025-05-18 03:40:06+00:00,0.5,37.0
2025-05-18 04:10:06+00:00,0.5,37.5
2025-05-18 04:40:06+00:00,0.5,38.0
2025-05-18 05:10:06+00:00,0.5,38.5
2025-05-18 05:40:06+00:00,0.5,39.0
2025-05-18 06:10:06+00:00,0.5,39.5
2025-05-18 06:40:06+00:00,0.5,40.0
2025-05-18 07:10:06+00:00,0.5,40.5
2025-05-18 07:40:06+00:00,0.5,41.0
2025-05-18 08:10:06+00:00,0.5,41.5
2025-05-18 08:40:06+00:00,0.5,42.0
2025-05-18 09:10:06+00:00,0.5,42.5
2025-05-18 09:40:06+00:00,0.5,43.0
2025-05-18 10:10:06+00:00,0.5,43.5
2025-05-18 10:40:06+00:00,0.5,44.0
2025-05-18 11:10:06+00:00,0.5,44.5
2025-05-18 11:40:06+00:00,0.5033333333333333,45.0
2025-05-18 12:10:06+00:00,0.505,45.5
2025-05-18 12:40:06+00:00,0.505,46.0
2025-05-18 13:10:06+00:00,0.505,46.5
2025-05-18 13:40:06+00:00,0.505,47.0
2025-05-18 14:10:06+00:00,0.505,47.5
2025-05-18 14:40:06+00:00,0.505,48.0
2025-05-18 15:10:06+00:00,0.5033333333333333,48.5
2025-05-18 15:40:06+00:00,0.5,49.0
2025-05-18 16:10:06+00:00,0.5,49.5
2025-05-18 16:40:06+00:00,0.5,50.0
2025-05-18 17:10:06+00:00,0.5,50.5
2025-05-18 17:40:06+00:00,0.5,51.0
2025-05-18 18:10:06+00:00,0.5,51.5
