ts,prob,elapsed_hours
2025-09-19 16:10:15+00:00,0.49,0.0
2025-09-19 16:40:15+00:00,0.49,0.5
2025-09-19 17:10:15+00:00,0.49,1.0
2025-09-19 17:40:15+00:00,0.49375,1.5
2025-09-19 18:10:15+00:00,0.3775,2.0
2025-09-19 18:40:15+00:00,0.26,2.5
2025-09-19 19:10:15+00:00,0.26,3.0
2025-09-19 19:40:15+00:00,0.26,3.5
2025-09-19 20:10:15+00:00,0.26,4.0
2025-09-19 20:40:15+00:00,0.26,4.5
2025-09-19 21:10:15+00:00,0.26,5.0
2025-09-19 21:40:15+00:00,0.26,5.5
2025-09-19 22:10:15+00:00,0.26,6.0
2025-09-19 22:40:15+00:00,0.26,6.5
2025-09-19 23:10:15+00:00,0.48,7.0
2025-09-19 23:40:15+00:00,0.48,7.5
2025-09-20 00:10:15+00:00,0.48,8.0
2025-09-20 00:40:15+00:00,0.48,8.5
2025-09-20 01:10:15+00:00,0.48,9.0
2025-09-20 01:40:15+00:00,0.48,9.5
2025-09-20 02:10:15+00:00,0.48,10.0
2025-09-20 02:40:15+00:00,0.4825,10.5
2025-09-20 03:10:15+00:00,0.4875,11.0
2025-09-20 03:40:15+00:00,0.49,11.5
2025-09-20 04:10:15+00:00,0.49,12.0
2025-09-20 04:40:15+00:00,0.49,12.5
2025-09-20 05:10:15+00:00,0.49333333333333335,13.0
2025-09-20 05:40:15+00:00,0.495,13.5
2025-09-20 06:10:15+00:00,0.495,14.0
2025-09-20 06:40:15+00:00,0.49499999999999994,14.5
2025-09-20 07:10:15+00:00,0.49499999999999994,15.0
2025-09-20 07:40:15+00:00,0.49499999999999994,15.5
2025-09-20 08:10:15+00:00,0.49499999999999994,16.0
2025-09-20 08:40:15+00:00,0.49499999999999994,16.5
2025-09-20 09:10:15+00:00,0.49499999999999994,17.0
2025-09-20 09:40:15+00:00,0.49499999999999994,17.5
2025-09-20 10:10:15+00:00,0.49499999999999994,18.0
2025-09-20 10:40:15+00:00,0.495,18.5
2025-09-20 11:10:15+00:00,0.495,19.0
2025-09-20 11:40:15+00:00,0.49499999999999994,19.5
2025-09-20 12:10:15+00:00,0.49499999999999994,20.0
2025-09-20 12:40:15+00:00,0.49499999999999994,20.5
2025-09-20 13:10:15+00:00,0.49499999999999994,21.0
2025-09-20 13:40:15+00:00,0.495,21.5
2025-09-20 14:10:15+00:00,0.495,22.0
2025-09-20 14:40:15+00:00,0.49499999999999994,22.5
2025-09-20 15:10:15+00:00,0.49499999999999994,23.0
2025-09-20 15:40:15+00:00,0.49,23.5
2025-09-20 16:10:15+00:00,0.48500000000000004,24.0
2025-09-20 16:40:15+00:00,0.46375,24.5
2025-09-20 17:10:15+00:00,0.515,25.0
2025-09-20 17:40:15+00:00,0.54,25.5
2025-09-20 18:10:15+00:00,0.585,26.0
2025-09-20 18:40:15+00:00,0.59,26.5
2025-09-20 19:10:15+00:00,0.5866666666666666,27.0
2025-09-20 19:40:15+00:00,0.5933333333333333,27.5
2025-09-20 20:10:15+00:00,0.5883333333333333,28.0
2025-09-20 20:40:15+00:00,0.5833333333333334,28.5
2025-09-20 21:10:15+00:00,0.5475000000000001,29.0
2025-09-20 21:40:15+00:00,0.5599999999999999,29.5
2025-09-20 22:10:15+00:00,0.5866666666666666,30.0
2025-09-20 22:40:15+00:00,0.59,30.5
2025-09-20 23:10:15+00:00,0.625,31.0
2025-09-20 23:40:15+00:00,0.635,31.5
2025-09-21 00:10:15+00:00,0.6716666666666667,32.0
2025-09-21 00:40:15+00:00,0.6716666666666667,32.5
2025-09-21 01:10:15+00:00,0.6933333333333334,33.0
2025-09-21 01:40:15+00:00,0.7366666666666667,33.5
2025-09-21 02:10:15+00:00,0.7316666666666666,34.0
2025-09-21 02:40:15+00:00,0.665,34.5
2025-09-21 03:10:15+00:00,0.69,35.0
2025-09-21 03:40:15+00:00,0.7066666666666667,35.5
2025-09-21 04:10:15+00:00,0.7516666666666666,36.0
2025-09-21 04:40:15+00:00,0.7925,36.5
2025-09-21 05:10:15+00:00,0.7883333333333334,37.0
2025-09-21 05:40:15+00:00,0.7683333333333334,37.5
2025-09-21 06:10:15+00:00,0.6533333333333333,38.0
2025-09-21 06:40:15+00:00,0.7075,38.5
2025-09-21 07:10:15+00:00,0.7575000000000001,39.0
2025-09-21 07:40:15+00:00,0.68375,39.5
2025-09-21 08:10:15+00:00,0.7733333333333334,40.0
2025-09-21 08:40:15+00:00,0.805,40.5
2025-09-21 09:10:15+00:00,0.895,41.0
2025-09-21 09:40:15+00:00,0.7983333333333333,41.5
2025-09-21 10:10:15+00:00,0.81,42.0
2025-09-21 10:40:15+00:00,0.86,42.5
2025-09-21 11:10:15+00:00,0.8066666666666666,43.0
2025-09-21 11:40:15+00:00,0.8216666666666667,43.5
2025-09-21 12:10:15+00:00,0.7725,44.0
2025-09-21 12:40:15+00:00,0.7916666666666666,44.5
2025-09-21 13:10:15+00:00,0.8262499999999999,45.0
2025-09-21 13:40:15+00:00,0.8775,45.5
2025-09-21 14:10:15+00:00,0.9299999999999999,46.0
2025-09-21 14:40:15+00:00,0.9710000000000001,46.5
2025-09-21 15:10:15+00:00,0.9855,47.0
2025-09-21 15:40:15+00:00,0.995,47.5
