ts,prob,elapsed_hours
2025-05-08 15:10:07+00:00,0.5,0.0
2025-05-08 15:40:07+00:00,0.5025,0.5
2025-05-08 16:10:07+00:00,0.505,1.0
2025-05-08 16:40:07+00:00,0.505,1.5
2025-05-08 17:10:07+00:00,0.505,2.0
2025-05-08 17:40:07+00:00,0.505,2.5
2025-05-08 18:10:07+00:00,0.505,3.0
2025-05-08 18:40:07+00:00,0.505,3.5
2025-05-08 19:10:07+00:00,0.5016666666666666,4.0
2025-05-08 19:40:07+00:00,0.5,4.5
2025-05-08 20:10:07+00:00,0.5,5.0
2025-05-08 20:40:07+00:00,0.5,5.5
2025-05-08 21:10:07+00:00,0.5,6.0
2025-05-08 21:40:07+00:00,0.5,6.5
2025-05-08 22:10:07+00:00,0.5,7.0
2025-05-08 22:40:07+00:00,0.5,7.5
2025-05-08 23:10:07+00:00,0.5,8.0
2025-05-08 23:40:07+00:00,0.5,8.5
2025-05-09 00:10:07+00:00,0.5,9.0
2025-05-09 00:40:07+00:00,0.505,9.5
2025-05-09 01:10:07+00:00,0.505,10.0
2025-05-09 01:40:07+00:00,0.505,10.5
2025-05-09 02:10:07+00:00,0.505,11.0
2025-05-09 02:40:07+00:00,0.505,11.5
2025-05-09 03:10:07+00:00,0.505,12.0
2025-05-09 03:40:07+00:00,0.505,12.5
2025-05-09 04:10:07+00:00,0.505,13.0
2025-05-09 04:40:07+00:00,0.505,13.5
2025-05-09 05:10:07+00:00,0.505,14.0
2025-05-09 05:40:07+00:00,0.49499999999999994,14.5
2025-05-09 06:10:07+00:00,0.49499999999999994,15.0
2025-05-09 06:40:07+00:00,0.49499999999999994,15.5
2025-05-09 07:10:07+00:00,0.49833333333333335,16.0
2025-05-09 07:40:07+00:00,0.5,16.5
2025-05-09 08:10:07+00:00,0.5,17.0
2025-05-09 08:40:07+00:00,0.40625,17.5
2025-05-09 09:10:07+00:00,0.47333333333333333,18.0
2025-05-09 09:40:07+00:00,0.4825,18.5
2025-05-09 10:10:07+00:00,0.47624999999999995,19.0
2025-05-09 10:40:07+00:00,0.475,19.5
2025-05-09 11:10:07+00:00,0.47875,20.0
2025-05-09 11:40:07+00:00,0.48,20.5
2025-05-09 12:10:07+00:00,0.48124999999999996,21.0
2025-05-09 12:40:07+00:00,0.4766666666666666,21.5
2025-05-09 13:10:07+00:00,0.4749999999999999,22.0
2025-05-09 13:40:07+00:00,0.48,22.5
2025-05-09 14:10:07+00:00,0.475,23.0
2025-05-09 14:40:07+00:00,0.475,23.5
2025-05-09 15:10:07+00:00,0.4716666666666667,24.0
2025-05-09 15:40:07+00:00,0.48,24.5
2025-05-09 16:10:07+00:00,0.5,25.0
2025-05-09 16:40:07+00:00,0.47125,25.5
2025-05-09 17:10:07+00:00,0.3666666666666667,26.0
2025-05-09 17:40:07+00:00,0.2975,26.5
2025-05-09 18:10:07+00:00,0.3475,27.0
2025-05-09 18:40:07+00:00,0.33666666666666667,27.5
2025-05-09 19:10:07+00:00,0.4066666666666667,28.0
2025-05-09 19:40:07+00:00,0.36166666666666664,28.5
2025-05-09 20:10:07+00:00,0.3033333333333333,29.0
2025-05-09 20:40:07+00:00,0.32999999999999996,29.5
2025-05-09 21:10:07+00:00,0.33625,30.0
2025-05-09 21:40:07+00:00,0.3383333333333334,30.5
2025-05-09 22:10:07+00:00,0.32166666666666666,31.0
2025-05-09 22:40:07+00:00,0.3116666666666667,31.5
2025-05-09 23:10:07+00:00,0.2916666666666667,32.0
2025-05-09 23:40:07+00:00,0.2683333333333333,32.5
2025-05-10 00:10:07+00:00,0.1775,33.0
2025-05-10 00:40:07+00:00,0.305,33.5
2025-05-10 01:10:07+00:00,0.25666666666666665,34.0
2025-05-10 01:40:07+00:00,0.29,34.5
2025-05-10 02:10:07+00:00,0.26666666666666666,35.0
2025-05-10 02:40:07+00:00,0.26,35.5
2025-05-10 03:10:07+00:00,0.275,36.0
2025-05-10 03:40:07+00:00,0.275,36.5
2025-05-10 04:10:07+00:00,0.295,37.0
2025-05-10 04:40:07+00:00,0.25,37.5
2025-05-10 05:10:07+00:00,0.21333333333333335,38.0
2025-05-10 05:40:07+00:00,0.17666666666666667,38.5
2025-05-10 06:10:07+00:00,0.12,39.0
2025-05-10 06:40:07+00:00,0.13333333333333333,39.5
2025-05-10 07:10:07+00:00,0.12833333333333333,40.0
2025-05-10 07:40:07+00:00,0.0605,40.5
2025-05-10 08:10:07+00:00,0.033,41.0
2025-05-10 08:40:07+00:00,0.062,41.5
2025-05-10 09:10:07+00:00,0.05883333333333333,42.0
2025-05-10 09:40:07+00:00,0.03325,42.5
2025-05-10 10:10:07+00:00,0.0315,43.0
2025-05-10 10:40:07+00:00,0.024999999999999998,43.5
2025-05-10 11:10:07+00:00,0.0325,44.0
2025-05-10 11:40:07+00:00,0.036,44.5
