ts,prob,elapsed_hours
2025-10-18 16:10:16+00:00,0.5,0.0
2025-10-18 16:40:16+00:00,0.5,0.5
2025-10-18 17:10:16+00:00,0.5,1.0
2025-10-18 17:40:16+00:00,0.5,1.5
2025-10-18 18:10:16+00:00,0.5,2.0
2025-10-18 18:40:16+00:00,0.5,2.5
2025-10-18 19:10:16+00:00,0.5,3.0
2025-10-18 19:40:16+00:00,0.5,3.5
2025-10-18 20:10:16+00:00,0.5,4.0
2025-10-18 20:40:16+00:00,0.5,4.5
2025-10-18 21:10:16+00:00,0.5,5.0
2025-10-18 21:40:16+00:00,0.5,5.5
2025-10-18 22:10:16+00:00,0.5,6.0
2025-10-18 22:40:16+00:00,0.5016666666666666,6.5
2025-10-18 23:10:16+00:00,0.505,7.0
2025-10-18 23:40:16+00:00,0.505,7.5
2025-10-19 00:10:16+00:00,0.505,8.0
2025-10-19 00:40:16+00:00,0.505,8.5
2025-10-19 01:10:16+00:00,0.505,9.0
2025-10-19 01:40:16+00:00,0.505,9.5
2025-10-19 02:10:16+00:00,0.505,10.0
2025-10-19 02:40:16+00:00,0.505,10.5
2025-10-19 03:10:16+00:00,0.505,11.0
2025-10-19 03:40:16+00:00,0.505,11.5
2025-10-19 04:10:16+00:00,0.505,12.0
2025-10-19 04:40:16+00:00,0.505,12.5
2025-10-19 05:10:16+00:00,0.505,13.0
2025-10-19 05:40:16+00:00,0.505,13.5
2025-10-19 06:10:16+00:00,0.505,14.0
2025-10-19 06:40:16+00:00,0.505,14.5
2025-10-19 07:10:16+00:00,0.505,15.0
2025-10-19 07:40:16+00:00,0.505,15.5
2025-10-19 08:10:16+00:00,0.505,16.0
2025-10-19 08:40:16+00:00,0.505,16.5
2025-10-19 09:10:16+00:00,0.505,17.0
2025-10-19 09:40:16+00:00,0.505,17.5
2025-10-19 10:10:16+00:00,0.505,18.0
2025-10-19 10:40:16+00:00,0.505,18.5
2025-10-19 11:10:16+00:00,0.505,19.0
2025-10-19 11:40:16+00:00,0.505,19.5
2025-10-19 12:10:16+00:00,0.505,20.0
2025-10-19 12:40:16+00:00,0.505,20.5
2025-10-19 13:10:16+00:00,0.505,21.0
2025-10-19 13:40:16+00:00,0.505,21.5
2025-10-19 14:10:16+00:00,0.505,22.0
2025-10-19 14:40:16+00:00,0.49875,22.5
2025-10-19 15:10:16+00:00,0.49499999999999994,23.0
2025-10-19 15:40:16+00:00,0.4883333333333333,23.5
2025-10-19 16:10:16+00:00,0.4683333333333333,24.0
2025-10-19 16:40:16+00:00,0.5466666666666667,24.5
2025-10-19 17:10:16+00:00,0.5583333333333333,25.0
2025-10-19 17:40:16+00:00,0.5416666666666666,25.5
2025-10-19 18:10:16+00:00,0.5633333333333334,26.0
2025-10-19 18:40:16+00:00,0.5925,26.5
2025-10-19 19:10:16+00:00,0.545,27.0
2025-10-19 19:40:16+00:00,0.53,27.5
2025-10-19 20:10:16+00:00,0.5225,28.0
2025-10-19 20:40:16+00:00,0.5625,28.5
2025-10-19 21:10:16+00:00,0.5466666666666667,29.0
2025-10-19 21:40:16+00:00,0.5666666666666667,29.5
2025-10-19 22:10:16+00:00,0.6333333333333333,30.0
2025-10-19 22:40:16+00:00,0.635,30.5
2025-10-19 23:10:16+00:00,0.555,31.0
2025-10-19 23:40:16+00:00,0.49333333333333335,31.5
2025-10-20 00:10:16+00:00,0.3566666666666667,32.0
2025-10-20 00:40:16+00:00,0.375,32.5
2025-10-20 01:10:16+00:00,0.37666666666666665,33.0
2025-10-20 01:40:16+00:00,0.35333333333333333,33.5
2025-10-20 02:10:16+00:00,0.4033333333333333,34.0
2025-10-20 02:40:16+00:00,0.4325,34.5
2025-10-20 03:10:16+00:00,0.4366666666666667,35.0
2025-10-20 03:40:16+00:00,0.60875,35.5
2025-10-20 04:10:16+00:00,0.7024999999999999,36.0
2025-10-20 04:40:16+00:00,0.765,36.5
2025-10-20 05:10:16+00:00,0.7933333333333333,37.0
2025-10-20 05:40:16+00:00,0.8216666666666667,37.5
2025-10-20 06:10:16+00:00,0.8533333333333334,38.0
2025-10-20 06:40:16+00:00,0.8616666666666667,38.5
2025-10-20 07:10:16+00:00,0.8616666666666667,39.0
2025-10-20 07:40:16+00:00,0.83,39.5
2025-10-20 08:10:16+00:00,0.81125,40.0
2025-10-20 08:40:16+00:00,0.8283333333333333,40.5
2025-10-20 09:10:16+00:00,0.81,41.0
2025-10-20 09:40:16+00:00,0.8333333333333334,41.5
2025-10-20 10:10:16+00:00,0.85,42.0
2025-10-20 10:40:16+00:00,0.765,42.5
2025-10-20 11:10:16+00:00,0.7916666666666666,43.0
2025-10-20 11:40:16+00:00,0.82,43.5
2025-10-20 12:10:16+00:00,0.83,44.0
2025-10-20 12:40:16+00:00,0.8516666666666666,44.5
2025-10-20 13:10:16+00:00,0.8533333333333334,45.0
2025-10-20 13:40:16+00:00,0.9016666666666667,45.5
2025-10-20 14:10:16+00:00,0.915,46.0
2025-10-20 14:40:16+00:00,0.9819999999999999,46.5
2025-10-20 15:10:16+00:00,0.9865,47.0
2025-10-20 15:40:16+00:00,0.995,47.5
